iter;dataset;cls;method;param;value;score
2;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.8898293598171891;0.9169839497505452
2;turnaround_labeled;xgboost;cluster_index;learning_rate;0.2120251408954117;0.9169839497505452
2;turnaround_labeled;xgboost;cluster_index;max_depth;15;0.9169839497505452
2;turnaround_labeled;xgboost;cluster_index;min_child_weight;5;0.9169839497505452
2;turnaround_labeled;xgboost;cluster_index;n_clusters;9;0.9169839497505452
2;turnaround_labeled;xgboost;cluster_index;subsample;0.7078522674082457;0.9169839497505452
2;turnaround_labeled;xgboost;cluster_index;processing_time;3.7448811531066895;0
3;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.5480814031409962;0.6020425361075008
3;turnaround_labeled;xgboost;cluster_index;learning_rate;0.8940333573859396;0.6020425361075008
3;turnaround_labeled;xgboost;cluster_index;max_depth;11;0.6020425361075008
3;turnaround_labeled;xgboost;cluster_index;min_child_weight;2;0.6020425361075008
3;turnaround_labeled;xgboost;cluster_index;n_clusters;47;0.6020425361075008
3;turnaround_labeled;xgboost;cluster_index;subsample;0.608746354919774;0.6020425361075008
3;turnaround_labeled;xgboost;cluster_index;processing_time;15.593514919281006;0
4;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.9164313716563566;0.5290509016533909
4;turnaround_labeled;xgboost;cluster_index;learning_rate;0.9552308465960446;0.5290509016533909
4;turnaround_labeled;xgboost;cluster_index;max_depth;14;0.5290509016533909
4;turnaround_labeled;xgboost;cluster_index;min_child_weight;4;0.5290509016533909
4;turnaround_labeled;xgboost;cluster_index;n_clusters;25;0.5290509016533909
4;turnaround_labeled;xgboost;cluster_index;subsample;0.6818195918179626;0.5290509016533909
4;turnaround_labeled;xgboost;cluster_index;processing_time;9.04942512512207;0
5;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.8202556319825247;0.8796513982443781
5;turnaround_labeled;xgboost;cluster_index;learning_rate;0.9909541885764489;0.8796513982443781
5;turnaround_labeled;xgboost;cluster_index;max_depth;4;0.8796513982443781
5;turnaround_labeled;xgboost;cluster_index;min_child_weight;5;0.8796513982443781
5;turnaround_labeled;xgboost;cluster_index;n_clusters;10;0.8796513982443781
5;turnaround_labeled;xgboost;cluster_index;subsample;0.6838882225179501;0.8796513982443781
5;turnaround_labeled;xgboost;cluster_index;processing_time;4.170974016189575;0
6;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.6419112506674636;0.5310154972984623
6;turnaround_labeled;xgboost;cluster_index;learning_rate;0.3688599580811346;0.5310154972984623
6;turnaround_labeled;xgboost;cluster_index;max_depth;5;0.5310154972984623
6;turnaround_labeled;xgboost;cluster_index;min_child_weight;6;0.5310154972984623
6;turnaround_labeled;xgboost;cluster_index;n_clusters;43;0.5310154972984623
6;turnaround_labeled;xgboost;cluster_index;subsample;0.7006942032686041;0.5310154972984623
6;turnaround_labeled;xgboost;cluster_index;processing_time;13.666249752044678;0
7;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.9633703956082371;0.892154766446173
7;turnaround_labeled;xgboost;cluster_index;learning_rate;0.2904606529407294;0.892154766446173
7;turnaround_labeled;xgboost;cluster_index;max_depth;7;0.892154766446173
7;turnaround_labeled;xgboost;cluster_index;min_child_weight;1;0.892154766446173
7;turnaround_labeled;xgboost;cluster_index;n_clusters;35;0.892154766446173
7;turnaround_labeled;xgboost;cluster_index;subsample;0.6525537913388004;0.892154766446173
7;turnaround_labeled;xgboost;cluster_index;processing_time;11.512962102890015;0
8;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.9755391747776951;0.8626345792106349
8;turnaround_labeled;xgboost;cluster_index;learning_rate;0.16790590490978496;0.8626345792106349
8;turnaround_labeled;xgboost;cluster_index;max_depth;16;0.8626345792106349
8;turnaround_labeled;xgboost;cluster_index;min_child_weight;6;0.8626345792106349
8;turnaround_labeled;xgboost;cluster_index;n_clusters;9;0.8626345792106349
8;turnaround_labeled;xgboost;cluster_index;subsample;0.6084736801042576;0.8626345792106349
8;turnaround_labeled;xgboost;cluster_index;processing_time;3.523730993270874;0
9;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.7279129964822637;0.5106084919024452
9;turnaround_labeled;xgboost;cluster_index;learning_rate;0.5602196975388568;0.5106084919024452
9;turnaround_labeled;xgboost;cluster_index;max_depth;25;0.5106084919024452
9;turnaround_labeled;xgboost;cluster_index;min_child_weight;4;0.5106084919024452
9;turnaround_labeled;xgboost;cluster_index;n_clusters;40;0.5106084919024452
9;turnaround_labeled;xgboost;cluster_index;subsample;0.5436208275541602;0.5106084919024452
9;turnaround_labeled;xgboost;cluster_index;processing_time;13.49175500869751;0
10;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.5453378829926774;0.6301618714837578
10;turnaround_labeled;xgboost;cluster_index;learning_rate;0.26575152629853493;0.6301618714837578
10;turnaround_labeled;xgboost;cluster_index;max_depth;7;0.6301618714837578
10;turnaround_labeled;xgboost;cluster_index;min_child_weight;2;0.6301618714837578
10;turnaround_labeled;xgboost;cluster_index;n_clusters;46;0.6301618714837578
10;turnaround_labeled;xgboost;cluster_index;subsample;0.7398041850427648;0.6301618714837578
10;turnaround_labeled;xgboost;cluster_index;processing_time;14.997176170349121;0
11;turnaround_labeled;xgboost;cluster_index;colsample_bytree;0.6104056617737366;0.5575253922671151
11;turnaround_labeled;xgboost;cluster_index;learning_rate;0.46449063956065184;0.5575253922671151
11;turnaround_labeled;xgboost;cluster_index;max_depth;7;0.5575253922671151
11;turnaround_labeled;xgboost;cluster_index;min_child_weight;3;0.5575253922671151
11;turnaround_labeled;xgboost;cluster_index;n_clusters;45;0.5575253922671151
11;turnaround_labeled;xgboost;cluster_index;subsample;0.6354559204160948;0.5575253922671151
11;turnaround_labeled;xgboost;cluster_index;processing_time;14.757551908493042;0
